id,fecha,hora,temp_exterior,temp_max,temp_min,temp_interior,humedad_exterior,humedad_interior
4296,2026-06-01,00:15:00,18.0,18.0,18.0,24.0,74.0,43.0
4297,2026-06-01,00:30:00,17.0,18.0,17.0,24.0,77.0,43.0
4298,2026-06-01,00:45:00,17.0,17.0,17.0,24.0,77.0,44.0
4299,2026-06-01,01:00:00,17.0,17.0,17.0,24.0,78.0,44.0
4300,2026-06-01,01:15:00,18.0,18.0,17.0,24.0,78.0,44.0
4301,2026-06-01,01:30:00,17.0,18.0,17.0,24.0,74.0,45.0
4302,2026-06-01,01:45:00,17.0,17.0,17.0,23.0,77.0,45.0
4303,2026-06-01,02:00:00,17.0,17.0,17.0,23.0,78.0,45.0
4304,2026-06-01,02:15:00,16.0,17.0,16.0,23.0,76.0,45.0
4305,2026-06-01,02:30:00,16.0,16.0,16.0,23.0,76.0,45.0
4306,2026-06-01,02:45:00,16.0,16.0,16.0,23.0,76.0,45.0
4307,2026-06-01,03:00:00,16.0,16.0,16.0,23.0,76.0,45.0
4308,2026-06-01,03:15:00,16.0,16.0,16.0,23.0,78.0,45.0
4309,2026-06-01,03:30:00,16.0,16.0,16.0,23.0,79.0,45.0
4310,2026-06-01,03:45:00,16.0,16.0,16.0,23.0,79.0,45.0
4311,2026-06-01,04:00:00,15.0,16.0,15.0,23.0,79.0,45.0
4312,2026-06-01,04:15:00,15.0,16.0,15.0,23.0,79.0,45.0
4313,2026-06-01,04:30:00,15.0,15.0,15.0,23.0,80.0,45.0
4314,2026-06-01,04:45:00,15.0,15.0,15.0,23.0,82.0,45.0
4315,2026-06-01,05:00:00,15.0,15.0,15.0,23.0,82.0,45.0
4316,2026-06-01,05:15:00,15.0,15.0,15.0,23.0,81.0,45.0
4317,2026-06-01,05:30:00,15.0,15.0,15.0,23.0,81.0,46.0
4318,2026-06-01,05:45:00,16.0,16.0,15.0,23.0,78.0,46.0
4319,2026-06-01,06:00:00,17.0,17.0,16.0,23.0,76.0,46.0
4320,2026-06-01,06:15:00,17.0,17.0,17.0,23.0,73.0,46.0
4321,2026-06-01,06:30:00,18.0,18.0,17.0,23.0,70.0,46.0
4322,2026-06-01,06:45:00,19.0,19.0,18.0,23.0,68.0,45.0
4323,2026-06-01,07:00:00,20.0,20.0,19.0,23.0,64.0,45.0
4324,2026-06-01,07:15:00,20.0,20.0,20.0,23.0,60.0,45.0
4325,2026-06-01,07:30:00,21.0,21.0,20.0,23.0,58.0,45.0
4326,2026-06-01,07:45:00,21.0,21.0,21.0,23.0,56.0,44.0
4327,2026-06-01,08:00:00,22.0,22.0,21.0,24.0,55.0,44.0
4328,2026-06-01,08:15:00,22.0,22.0,21.0,24.0,55.0,44.0
4329,2026-06-01,08:30:00,22.0,22.0,22.0,24.0,54.0,43.0
4330,2026-06-01,08:45:00,22.0,22.0,21.0,24.0,54.0,43.0
4331,2026-06-01,09:00:00,23.0,23.0,22.0,24.0,51.0,44.0
4332,2026-06-01,09:15:00,23.0,24.0,23.0,24.0,49.0,43.0
4333,2026-06-01,09:30:00,24.0,24.0,23.0,24.0,45.0,43.0
4334,2026-06-01,09:45:00,24.0,24.0,24.0,24.0,47.0,43.0
4335,2026-06-01,10:00:00,25.0,25.0,24.0,24.0,45.0,42.0
4336,2026-06-01,10:15:00,26.0,26.0,25.0,24.0,42.0,42.0
4337,2026-06-01,10:30:00,25.0,26.0,25.0,24.0,42.0,42.0
4338,2026-06-01,10:45:00,25.0,26.0,25.0,24.0,42.0,42.0
4339,2026-06-01,11:00:00,26.0,26.0,25.0,24.0,40.0,41.0
4340,2026-06-01,11:15:00,27.0,27.0,26.0,25.0,40.0,40.0
4341,2026-06-01,11:30:00,25.0,27.0,25.0,25.0,40.0,40.0
4342,2026-06-01,11:45:00,27.0,27.0,26.0,25.0,37.0,40.0
4343,2026-06-01,12:00:00,28.0,28.0,27.0,25.0,34.0,40.0
4344,2026-06-01,12:15:00,29.0,29.0,28.0,25.0,32.0,39.0
4345,2026-06-01,12:30:00,29.0,29.0,28.0,25.0,32.0,36.0
4346,2026-06-01,12:45:00,28.0,29.0,28.0,25.0,32.0,37.0
4347,2026-06-01,13:00:00,29.0,29.0,28.0,25.0,30.0,36.0
4348,2026-06-01,13:15:00,28.0,29.0,28.0,25.0,32.0,36.0
4349,2026-06-01,13:30:00,29.0,29.0,28.0,25.0,30.0,36.0
4350,2026-06-01,13:45:00,27.0,29.0,27.0,25.0,35.0,36.0
4351,2026-06-01,14:00:00,28.0,28.0,27.0,25.0,34.0,36.0
4352,2026-06-01,14:15:00,28.0,28.0,28.0,25.0,35.0,37.0
4353,2026-06-01,14:30:00,28.0,28.0,28.0,25.0,34.0,37.0
4354,2026-06-01,14:45:00,28.0,29.0,28.0,25.0,32.0,38.0
4355,2026-06-01,15:00:00,28.0,29.0,28.0,25.0,30.0,38.0
4356,2026-06-01,15:15:00,29.0,29.0,28.0,25.0,28.0,38.0
4357,2026-06-01,15:30:00,29.0,29.0,28.0,25.0,29.0,38.0
4358,2026-06-01,15:45:00,28.0,29.0,28.0,25.0,33.0,38.0
4359,2026-06-01,16:00:00,28.0,28.0,28.0,25.0,32.0,37.0
4360,2026-06-01,16:15:00,28.0,28.0,28.0,25.0,32.0,37.0
4361,2026-06-01,16:30:00,27.0,28.0,27.0,25.0,33.0,37.0
4362,2026-06-01,16:45:00,26.0,27.0,26.0,25.0,34.0,37.0
4363,2026-06-01,17:00:00,25.0,26.0,25.0,25.0,43.0,38.0
4364,2026-06-01,17:15:00,24.0,25.0,24.0,25.0,48.0,38.0
4365,2026-06-01,17:30:00,23.0,24.0,23.0,25.0,48.0,38.0
4366,2026-06-01,17:45:00,23.0,23.0,23.0,25.0,52.0,38.0
4367,2026-06-01,18:00:00,22.0,23.0,22.0,25.0,53.0,39.0
4368,2026-06-01,18:15:00,21.0,22.0,21.0,25.0,59.0,39.0
4369,2026-06-01,18:30:00,21.0,21.0,21.0,25.0,63.0,40.0
4370,2026-06-01,18:45:00,21.0,21.0,21.0,25.0,63.0,40.0
4371,2026-06-01,19:00:00,21.0,21.0,21.0,25.0,62.0,41.0
4372,2026-06-01,19:15:00,21.0,21.0,21.0,25.0,62.0,43.0
4373,2026-06-01,19:30:00,20.0,21.0,20.0,25.0,65.0,44.0
4374,2026-06-01,19:45:00,20.0,20.0,20.0,25.0,65.0,44.0
4375,2026-06-01,20:00:00,20.0,20.0,20.0,25.0,65.0,44.0
4376,2026-06-01,20:15:00,20.0,20.0,20.0,25.0,65.0,44.0
4377,2026-06-01,20:30:00,20.0,20.0,20.0,25.0,64.0,44.0
4378,2026-06-01,20:45:00,20.0,20.0,20.0,25.0,63.0,44.0
4379,2026-06-01,21:00:00,20.0,20.0,20.0,25.0,63.0,43.0
4380,2026-06-01,21:15:00,19.0,20.0,19.0,25.0,64.0,43.0
4381,2026-06-01,21:30:00,19.0,19.0,19.0,25.0,66.0,43.0
