id,fecha,hora,velocidad_kmh,rafaga_kmh,direccion,direccion_rafaga
4296,2026-06-01,00:15:00,1.6,8.0,WNW,WNW
4297,2026-06-01,00:30:00,3.2,12.9,SW,WNW
4298,2026-06-01,00:45:00,1.6,12.9,SW,WNW
4299,2026-06-01,01:00:00,3.2,11.3,W,WNW
4300,2026-06-01,01:15:00,1.6,8.0,NW,NW
4301,2026-06-01,01:30:00,3.2,11.3,SW,NW
4302,2026-06-01,01:45:00,3.2,12.9,N,NW
4303,2026-06-01,02:00:00,1.6,12.9,SW,NW
4304,2026-06-01,02:15:00,1.6,11.3,NW,NNW
4305,2026-06-01,02:30:00,0.0,4.8,NW,NW
4306,2026-06-01,02:45:00,0.0,6.4,NW,NW
4307,2026-06-01,03:00:00,0.0,8.0,NNW,NW
4308,2026-06-01,03:15:00,1.6,9.7,NW,NW
4309,2026-06-01,03:30:00,0.0,6.4,NNW,NW
4310,2026-06-01,03:45:00,1.6,9.7,NNW,NW
4311,2026-06-01,04:00:00,0.0,8.0,NNW,NW
4312,2026-06-01,04:15:00,0.0,3.2,WSW,WSW
4313,2026-06-01,04:30:00,0.0,0.0,,
4314,2026-06-01,04:45:00,0.0,0.0,,
4315,2026-06-01,05:00:00,0.0,0.0,,
4316,2026-06-01,05:15:00,0.0,6.4,W,WNW
4317,2026-06-01,05:30:00,0.0,4.8,WNW,NW
4318,2026-06-01,05:45:00,1.6,6.4,WNW,NNW
4319,2026-06-01,06:00:00,1.6,8.0,NNW,NNW
4320,2026-06-01,06:15:00,1.6,6.4,NW,NW
4321,2026-06-01,06:30:00,0.0,4.8,WSW,NW
4322,2026-06-01,06:45:00,0.0,4.8,NW,NW
4323,2026-06-01,07:00:00,0.0,3.2,NNW,NNW
4324,2026-06-01,07:15:00,0.0,3.2,NNE,NE
4325,2026-06-01,07:30:00,0.0,4.8,NW,NW
4326,2026-06-01,07:45:00,0.0,4.8,S,SE
4327,2026-06-01,08:00:00,0.0,8.0,NNE,NNE
4328,2026-06-01,08:15:00,1.6,8.0,NNW,SSE
4329,2026-06-01,08:30:00,1.6,6.4,SSE,SSE
4330,2026-06-01,08:45:00,1.6,8.0,SSE,SE
4331,2026-06-01,09:00:00,1.6,8.0,SSE,SSE
4332,2026-06-01,09:15:00,1.6,9.7,N,NNE
4333,2026-06-01,09:30:00,1.6,9.7,NE,NE
4334,2026-06-01,09:45:00,1.6,8.0,ESE,SE
4335,2026-06-01,10:00:00,3.2,12.9,WNW,NNE
4336,2026-06-01,10:15:00,1.6,9.7,N,NNE
4337,2026-06-01,10:30:00,1.6,9.7,SSE,NNE
4338,2026-06-01,10:45:00,1.6,9.7,NW,NW
4339,2026-06-01,11:00:00,0.0,3.2,SE,SE
4340,2026-06-01,11:15:00,1.6,11.3,WSW,WNW
4341,2026-06-01,11:30:00,1.6,8.0,WNW,NE
4342,2026-06-01,11:45:00,0.0,9.7,SSE,S
4343,2026-06-01,12:00:00,0.0,4.8,WNW,NNW
4344,2026-06-01,12:15:00,3.2,19.3,WSW,NW
4345,2026-06-01,12:30:00,3.2,9.7,E,E
4346,2026-06-01,12:45:00,3.2,11.3,N,NW
4347,2026-06-01,13:00:00,4.8,16.1,WSW,NW
4348,2026-06-01,13:15:00,4.8,11.3,WSW,NNE
4349,2026-06-01,13:30:00,3.2,11.3,NNW,NE
4350,2026-06-01,13:45:00,4.8,25.7,NW,NNW
4351,2026-06-01,14:00:00,1.6,25.7,WNW,NW
4352,2026-06-01,14:15:00,8.0,22.5,N,NW
4353,2026-06-01,14:30:00,3.2,12.9,W,NW
4354,2026-06-01,14:45:00,3.2,16.1,N,NW
4355,2026-06-01,15:00:00,3.2,11.3,NW,WNW
4356,2026-06-01,15:15:00,3.2,12.9,NW,WNW
4357,2026-06-01,15:30:00,3.2,11.3,WSW,NE
4358,2026-06-01,15:45:00,3.2,14.5,N,NNE
4359,2026-06-01,16:00:00,3.2,16.1,NNW,N
4360,2026-06-01,16:15:00,4.8,16.1,N,NW
4361,2026-06-01,16:30:00,3.2,11.3,NW,NW
4362,2026-06-01,16:45:00,3.2,12.9,W,NW
4363,2026-06-01,17:00:00,3.2,12.9,NW,NNE
4364,2026-06-01,17:15:00,3.2,12.9,N,NE
4365,2026-06-01,17:30:00,3.2,11.3,N,NE
4366,2026-06-01,17:45:00,1.6,14.5,NE,NNE
4367,2026-06-01,18:00:00,1.6,6.4,NNE,NE
4368,2026-06-01,18:15:00,3.2,16.1,NNE,NE
4369,2026-06-01,18:30:00,1.6,12.9,ENE,NNE
4370,2026-06-01,18:45:00,1.6,12.9,N,NNE
4371,2026-06-01,19:00:00,3.2,17.7,NNE,NNE
4372,2026-06-01,19:15:00,0.0,4.8,NNE,NNE
4373,2026-06-01,19:30:00,1.6,11.3,NNE,NE
4374,2026-06-01,19:45:00,3.2,12.9,NNE,NE
4375,2026-06-01,20:00:00,1.6,9.7,NE,NE
4376,2026-06-01,20:15:00,1.6,8.0,N,NE
4377,2026-06-01,20:30:00,1.6,8.0,NNW,NNE
4378,2026-06-01,20:45:00,1.6,8.0,NW,NE
4379,2026-06-01,21:00:00,0.0,3.2,N,N
4380,2026-06-01,21:15:00,0.0,6.4,WNW,WNW
4381,2026-06-01,21:30:00,0.0,4.8,NW,NNW
4382,2026-06-01,21:45:00,0.0,0.0,,
4383,2026-06-01,22:00:00,0.0,1.6,N,N
4384,2026-06-01,22:15:00,0.0,0.0,,
4385,2026-06-01,22:30:00,0.0,0.0,,
4386,2026-06-01,22:45:00,0.0,3.2,N,N
4387,2026-06-01,23:00:00,0.0,4.8,NNW,NNW
4388,2026-06-01,23:15:00,1.6,9.7,NNW,NW
4389,2026-06-01,23:30:00,0.0,8.0,N,NNW
4390,2026-06-01,23:45:00,0.0,1.6,NNW,NNW
